respondent_id,tipoevento,centralid_c1,centralid_c2,centralid_c3,importan_i1,importan_i2,importan_i3,mot_altru_1,mot_com_1,mot_altru_2,mot_com_2,mot_com_3,mot_altru_3,bes,lealcomp_1,lealcomp_2,lealcomp_3,lealcomp_4,lealcomp_total,pratfed,sexo,idade,estad_civil,hab_lit,besDico,centralidade,importancia,mot_altru,mot_com,cluster
6.91774e+09,1,4,4,4,4,4,4,4,4,4,4,4,4,8,2,0,0,0,2,0,1,52,3,3,1,4,4,4,4,1
6.90955e+09,1,4,3,3,2,2,4,5,5,4,4,4,4,5,0,0,0,0,0,0,1,48,2,3,0,3.33333,2.66667,4.33333,4.33333,1
6.90495e+09,2,4,4,3,3,4,4,3,5,5,3,5,3,9,0,6,2,0,20,0,2,46,2,3,1,3.66667,3.66667,3.66667,4.33333,1
6.88471e+09,2,4,4,3,6,5,6,5,5,5,5,5,5,6,0,5,1,0,14,0,1,46,2,3,1,3.66667,5.66667,5,5,1
6.90226e+09,1,5,6,5,6,7,7,5,4,6,4,4,4,7,2,1,1,0,8,0,1,59,4,3,1,5.33333,6.66667,5,4,2
6.89441e+09,2,5,5,5,6,7,7,3,3,6,7,7,3,8,0,2,0,0,4,0,1,44,3,5,1,5,6.66667,4,5.66667,1
6.88654e+09,2,7,7,7,7,7,7,3,6,3,6,6,3,5,0,5,1,0,14,0,2,21,1,3,0,7,7,3,6,2
6.90085e+09,2,2,2,2,4,4,4,3,3,3,3,3,3,8,0,1,1,0,6,0,2,36,1,4,1,2,4,3,3,1
6.90019e+09,1,2,2,2,2,2,2,5,6,6,6,6,4,8,2,0,0,0,2,0,1,38,1,4,1,2,2,5,6,3
6.8862e+09,2,4,5,4,5,5,6,4,3,4,4,4,4,8,0,8,10,2,72,0,2,60,2,3,1,4.33333,5.33333,4,3.66667,2
6.88579e+09,2,3,4,3,5,5,5,3,3,5,5,4,5,5,2,6,2,1,30,1,1,39,4,4,0,3.33333,5,4.33333,4,1
6.88511e+09,2,7,6,6,7,7,7,5,1,7,1,1,6,8,1,6,2,0,21,0,1,46,4,2,1,6.33333,7,6,1,2
6.88446e+09,2,6,5,5,7,6,6,1,1,1,1,1,1,5,0,2,1,5,48,0,2,43,3,4,0,5.33333,6.33333,1,1,2
6.88446e+09,2,5,5,4,7,7,7,3,7,7,7,7,2,8,2,3,0,6,56,0,2,29,1,4,1,4.66667,7,4,7,2
6.89853e+09,2,3,3,2,4,4,6,4,3,6,3,3,4,6,0,3,1,0,10,0,1,43,4,2,1,2.66667,4.66667,4.66667,3,1
6.89815e+09,2,1,1,1,3,3,3,4,7,5,4,5,3,6,2,3,0,0,8,0,2,46,4,3,1,1,3,4,5.33333,1
6.88444e+09,2,5,7,6,6,6,7,4,1,7,7,7,2,8,0,3,3,0,18,0,1,37,1,4,1,6,6.33333,4.33333,5,2
6.87778e+09,2,4,5,4,5,5,5,4,4,4,4,4,4,7,10,30,4,0,86,0,1,33,1,3,1,4.33333,5,4,4,2
6.87772e+09,2,3,3,3,4,4,4,3,3,4,4,4,4,6,0,4,1,0,12,0,2,46,4,3,1,3,4,3.66667,3.66667,1
6.89764e+09,1,4,4,4,4,5,5,5,5,5,5,5,5,7,2,3,0,0,8,1,1,48,2,3,1,4,4.66667,5,5,1
6.8937e+09,2,6,6,6,6,6,6,5,4,6,4,4,4,9,3,2,0,0,7,0,1,40,1,3,1,6,6,5,4,1
